messure_number,date_time,location,description,station_name,temperature,humidity,analog
2338718,"2020-03-30 16:12:11",F,Have,UST52,4.44,NULL,516
2338720,"2020-03-30 16:12:22",F,Have,UST52,4.44,NULL,524
2338722,"2020-03-30 16:12:32",F,Have,UST52,4.44,NULL,526
2338724,"2020-03-30 16:12:42",F,Have,UST52,4.44,NULL,531
2338726,"2020-03-30 16:12:52",F,Have,UST52,4.44,NULL,521
2338728,"2020-03-30 16:13:03",F,Have,UST52,4.5,NULL,529
2338730,"2020-03-30 16:13:13",F,Have,UST52,4.5,NULL,533
2338732,"2020-03-30 16:13:23",F,Have,UST52,4.5,NULL,512
2338734,"2020-03-30 16:13:33",F,Have,UST52,4.5,NULL,533
2338736,"2020-03-30 16:13:44",F,Have,UST52,4.5,NULL,530
2338738,"2020-03-30 16:13:54",F,Have,UST52,4.5,NULL,517
2338740,"2020-03-30 16:14:04",F,Have,UST52,4.5,NULL,511
2338742,"2020-03-30 16:14:15",F,Have,UST52,4.5,NULL,531
2338744,"2020-03-30 16:14:25",F,Have,UST52,4.5,NULL,508
2338746,"2020-03-30 16:14:35",F,Have,UST52,4.5,NULL,513
2338748,"2020-03-30 16:14:45",F,Have,UST52,4.5,NULL,516
2338750,"2020-03-30 16:14:56",F,Have,UST52,4.5,NULL,523
2338752,"2020-03-30 16:15:06",F,Have,UST52,4.5,NULL,509
2338754,"2020-03-30 16:15:16",F,Have,UST52,4.44,NULL,531
2338756,"2020-03-30 16:15:26",F,Have,UST52,4.44,NULL,532
2338758,"2020-03-30 16:15:37",F,Have,UST52,4.44,NULL,513
2338760,"2020-03-30 16:15:47",F,Have,UST52,4.44,NULL,534
2338762,"2020-03-30 16:15:57",F,Have,UST52,4.5,NULL,511
2338764,"2020-03-30 16:16:07",F,Have,UST52,4.5,NULL,515
2338766,"2020-03-30 16:16:18",F,Have,UST52,4.5,NULL,526
2338768,"2020-03-30 16:16:28",F,Have,UST52,4.5,NULL,514
2338770,"2020-03-30 16:16:38",F,Have,UST52,4.44,NULL,512
2338772,"2020-03-30 16:16:48",F,Have,UST52,4.44,NULL,530
2338774,"2020-03-30 16:16:59",F,Have,UST52,4.44,NULL,509
2338776,"2020-03-30 16:17:09",F,Have,UST52,4.44,NULL,526
2338778,"2020-03-30 16:17:19",F,Have,UST52,4.5,NULL,523
2338780,"2020-03-30 16:17:29",F,Have,UST52,4.5,NULL,520
2338782,"2020-03-30 16:17:40",F,Have,UST52,4.5,NULL,516
2338784,"2020-03-30 16:17:50",F,Have,UST52,4.44,NULL,511
2338786,"2020-03-30 16:18:00",F,Have,UST52,4.5,NULL,516
2338788,"2020-03-30 16:18:10",F,Have,UST52,4.5,NULL,534
2338790,"2020-03-30 16:18:21",F,Have,UST52,4.5,NULL,517
2338792,"2020-03-30 16:18:31",F,Have,UST52,4.56,NULL,528
2338794,"2020-03-30 16:18:41",F,Have,UST52,4.56,NULL,511
2338796,"2020-03-30 16:18:51",F,Have,UST52,4.56,NULL,509
2338798,"2020-03-30 16:19:02",F,Have,UST52,4.56,NULL,532
2338800,"2020-03-30 16:19:12",F,Have,UST52,4.5,NULL,514
2338802,"2020-03-30 16:19:22",F,Have,UST52,4.5,NULL,514
2338804,"2020-03-30 16:19:32",F,Have,UST52,4.5,NULL,509
2338806,"2020-03-30 16:19:43",F,Have,UST52,4.44,NULL,524
2338808,"2020-03-30 16:19:53",F,Have,UST52,4.44,NULL,531
2338810,"2020-03-30 16:20:03",F,Have,UST52,4.44,NULL,509
2338812,"2020-03-30 16:20:13",F,Have,UST52,4.5,NULL,526
2338814,"2020-03-30 16:20:24",F,Have,UST52,4.5,NULL,513
2338816,"2020-03-30 16:20:34",F,Have,UST52,4.5,NULL,513
2338818,"2020-03-30 16:20:44",F,Have,UST52,4.5,NULL,510
2338820,"2020-03-30 16:20:54",F,Have,UST52,4.5,NULL,531
2338822,"2020-03-30 16:21:05",F,Have,UST52,4.5,NULL,530
2338824,"2020-03-30 16:21:15",F,Have,UST52,4.56,NULL,515
2338826,"2020-03-30 16:21:25",F,Have,UST52,4.56,NULL,517
2338828,"2020-03-30 16:21:35",F,Have,UST52,4.56,NULL,526
2338830,"2020-03-30 16:21:46",F,Have,UST52,4.56,NULL,534
2338832,"2020-03-30 16:21:56",F,Have,UST52,4.56,NULL,512
2338834,"2020-03-30 16:22:06",F,Have,UST52,4.56,NULL,525
2338836,"2020-03-30 16:22:16",F,Have,UST52,4.5,NULL,526
2338838,"2020-03-30 16:22:27",F,Have,UST52,4.5,NULL,512
2338840,"2020-03-30 16:22:37",F,Have,UST52,4.5,NULL,510
2338842,"2020-03-30 16:22:47",F,Have,UST52,4.5,NULL,526
2338844,"2020-03-30 16:22:57",F,Have,UST52,4.5,NULL,517
2338846,"2020-03-30 16:23:08",F,Have,UST52,4.5,NULL,515
2338848,"2020-03-30 16:23:18",F,Have,UST52,4.5,NULL,508
2338850,"2020-03-30 16:23:28",F,Have,UST52,4.5,NULL,512
2338852,"2020-03-30 16:23:39",F,Have,UST52,4.44,NULL,515
2338854,"2020-03-30 16:23:49",F,Have,UST52,4.44,NULL,523
2338856,"2020-03-30 16:23:59",F,Have,UST52,4.44,NULL,513
2338858,"2020-03-30 16:24:09",F,Have,UST52,4.37,NULL,509
2338860,"2020-03-30 16:24:20",F,Have,UST52,4.44,NULL,508
2338862,"2020-03-30 16:24:30",F,Have,UST52,4.37,NULL,524
2338864,"2020-03-30 16:24:40",F,Have,UST52,4.37,NULL,528
2338866,"2020-03-30 16:24:50",F,Have,UST52,4.37,NULL,523
2338868,"2020-03-30 16:25:01",F,Have,UST52,4.31,NULL,513
2338870,"2020-03-30 16:25:11",F,Have,UST52,4.37,NULL,526
2338872,"2020-03-30 16:25:21",F,Have,UST52,4.37,NULL,528
2338874,"2020-03-30 16:25:31",F,Have,UST52,4.37,NULL,525
2338876,"2020-03-30 16:25:42",F,Have,UST52,4.37,NULL,523
2338878,"2020-03-30 16:25:52",F,Have,UST52,4.44,NULL,534
2338880,"2020-03-30 16:26:02",F,Have,UST52,4.44,NULL,525
2338882,"2020-03-30 16:26:12",F,Have,UST52,4.37,NULL,512
2338884,"2020-03-30 16:26:23",F,Have,UST52,4.37,NULL,529
2338886,"2020-03-30 16:26:33",F,Have,UST52,4.37,NULL,531
2338888,"2020-03-30 16:26:43",F,Have,UST52,4.37,NULL,521
2338890,"2020-03-30 16:26:53",F,Have,UST52,4.37,NULL,529
2338892,"2020-03-30 16:27:04",F,Have,UST52,4.37,NULL,521
